id,name,brand,calories,fat,carbs,protein,source
1116,"Paprykarz Szczeciński z Łososiem",Amerigo,155kcal,10.00g,9.30g,5.00g,fatsecret
1117,"Szprot w Sosie Pomidorowym",Amerigo,109kcal,4.30g,5.60g,12.00g,fatsecret
1118,"Tuńczyk w Oleju Roślinnym",Amerigo,180kcal,9.50g,0.10g,23.50g,fatsecret
1119,"Anchois w Oleju",Amerigo,186kcal,10.00g,0.00g,24.00g,fatsecret
1120,"Filety Anchois",Amerigo,186kcal,10.00g,0.00g,24.00g,fatsecret
1121,"Filet Śledziowy w Sosie Pomidorowym",Amerigo,141kcal,8.80g,5.40g,10.00g,fatsecret
1122,"Łosoś Kawałki w Sosie Pomidorowym",Amerigo,147kcal,8.30g,4.80g,13.20g,fatsecret
1123,"Łosoś w Sosie Pomidorowym",Amerigo,147kcal,8.30g,4.80g,13.20g,fatsecret
1124,"Sardynki w Oleju Roślinnym",Amerigo,294kcal,24.00g,5.00g,14.00g,fatsecret
1125,"Śledź w Sosie Pomidorowym",Amerigo,192kcal,7.60g,17.00g,13.00g,fatsecret
1126,"Śledź w Oleju po Gdańsku",Amerigo,331kcal,29.00g,7.80g,8.20g,fatsecret
1127,"Tuńczyk w Sosie Własnym",Amerigo,80kcal,0.50g,0.00g,20.00g,fatsecret
1128,"Łosoś Kawałki w Oleju",Amerigo,301kcal,27.00g,0.00g,14.60g,fatsecret
1129,"Sardynki w Sosie Pomidorowym",Amerigo,206kcal,14.00g,5.40g,14.00g,fatsecret
1130,"Filet z Makreli w Sosie Pomidorowym",Amerigo,245kcal,21.00g,4.80g,9.20g,fatsecret
1131,"Sardynki w Sosie Paprykowym",Amerigo,130kcal,7.30g,5.60g,10.00g,fatsecret
1132,"Sałatka z Makrelą",Amerigo,107kcal,4.10g,7.60g,8.40g,fatsecret
1133,"Szprot Podwędzany w Oleju ""Winter""",Amerigo,384kcal,36.00g,0.00g,15.00g,fatsecret
1134,"Tuńczyk Kawałki w Oleju Roślinnym",Amerigo,287kcal,23.00g,0.00g,20.00g,fatsecret
1135,"Tuńczyk Kawałki w Sosie Własnym",Amerigo,97kcal,0.60g,0.10g,23.00g,fatsecret
1136,"Łosoś w Puszce ",Amerigo,154kcal,9.90g,0.00g,16.10g,fatsecret
1137,"Tuńczyk Rozdrobniony w Oleju Roślinnym",Amerigo,308kcal,28.00g,0.00g,14.00g,fatsecret
1138,"Sałatka Pikantna z Makrelą",Amerigo,134kcal,7.40g,7.60g,8.40g,fatsecret
1139,"Filet z Łososia w Sosie Mango-Curry",Amerigo,178kcal,11.00g,4.70g,15.00g,fatsecret
1140,"Filety Śledziowe w Sosie Pomidorowym",Amerigo,152kcal,8.60g,5.40g,12.50g,fatsecret
1141,"Filet z Pstrąga w Sosie Pomidorowym",Amerigo,125kcal,4.90g,4.10g,16.00g,fatsecret
1142,"Łosoś Kawałki w Wodzie",Amerigo,154kcal,9.90g,0.00g,16.10g,fatsecret
1143,"Tuńczyk w Wodzie",Amerigo,70kcal,1.50g,0.00g,14.00g,fatsecret
1144,"Filet z Pstrąga w Sosie Paprykowym",Amerigo,117kcal,4.80g,4.50g,14.00g,fatsecret
1145,"Pierogi z Truskawkami ",Amigos,172kcal,0.50g,35.00g,5.50g,fatsecret
1146,"Pyzy z Mięsem",Amigos,138kcal,3.20g,24.00g,5.70g,fatsecret
1147,"Zupa Ogórkowa",Amino,80kcal,3.60g,9.80g,1.60g,fatsecret
1148,"Zupa Fasolowa z Boczkiem",Amino,66kcal,2.70g,8.90g,1.20g,fatsecret
1149,"Zupka Chińska",Amino,61kcal,2.70g,7.90g,1.20g,fatsecret
1150,"Rosół",Amino,61kcal,2.70g,7.90g,1.20g,fatsecret
1151,"Sos Paprykowy",Amino,45kcal,1.00g,7.00g,1.50g,fatsecret
1152,Pomidorowa,Amino,80kcal,3.50g,11.00g,1.50g,fatsecret
1153,"Zupa Gulaszowa",Amino,85kcal,3.50g,11.00g,1.50g,fatsecret
1154,"Zupa Pomidorowa",Amino,73kcal,3.20g,9.20g,1.40g,fatsecret
1155,Majonez,Amino,301kcal,30.00g,8.20g,0.90g,fatsecret
1156,"Barszcz Czerwony",Amino,85kcal,3.50g,11.00g,1.40g,fatsecret
1157,Flaki,Amino,80kcal,3.50g,11.00g,1.50g,fatsecret
1158,"Zupa Grzybowa",Amino,18kcal,0.50g,3.20g,0.50g,fatsecret
1159,"Zupa Ogonowa",Amino,29kcal,0.70g,4.60g,0.90g,fatsecret
1160,Grzybowa,Amino,290kcal,15.00g,35.00g,4.50g,fatsecret
1161,"Sos Boloński",Amino,40kcal,0.80g,7.00g,1.50g,fatsecret
1162,"Żurek",Amino,85kcal,3.50g,11.00g,2.00g,fatsecret
1163,"Zupa Pieczarkowa",Amino,30kcal,1.00g,4.50g,0.90g,fatsecret
1164,"Sos Pieczeniowy Jasny",Amino,30kcal,0.50g,5.00g,0.90g,fatsecret
1165,"Fasolka po Bretońsku",Amino,87kcal,2.90g,10.00g,4.10g,fatsecret
1166,"Gulasz Wieprzowy",Amino,92kcal,4.10g,4.80g,8.40g,fatsecret
1167,"Żurek Śląski ",Amino,25kcal,0.80g,3.50g,0.80g,fatsecret
1168,"Monster Beef",Amix,381kcal,1.00g,2.00g,90.00g,fatsecret
1169,"Optimass Beef",Amix,363kcal,1.90g,56.00g,30.00g,fatsecret
1170,"Zero Hero High Protein Low Sugar Orange Blast",Amix,389kcal,18.00g,33.00g,31.00g,fatsecret
1171,"Zero Hero High Protein Low Sugar Vanilla-Almond",Amix,400kcal,16.40g,27.70g,31.10g,fatsecret
1172,"Jogurt Kremowy z Jeżynami",Amorres,116kcal,2.60g,19.70g,3.50g,fatsecret
1173,"Jogurt Kremowy z Truskawkami",Amorres,109kcal,2.60g,18.40g,3.50g,fatsecret
1174,"Sos Sojowy Jasny",Amoy,50kcal,0.00g,10.00g,2.40g,fatsecret
1175,"Mleczko Kokosowe",Ampro,169kcal,18.00g,1.50g,1.20g,fatsecret
1176,"Kisiel o Smaku Truskawkowym",Amylon,391kcal,0.00g,97.00g,0.50g,fatsecret
1177,"Budyń Śmietankowy",Amylon,353kcal,0.50g,87.00g,0.50g,fatsecret
1178,"Budyń Bezglutenowy Waniliowy ",Amylon,352kcal,0.50g,87.00g,0.90g,fatsecret
1179,"Budyń Czekoladowy Bezglutenowy",Amylon,331kcal,2.30g,72.90g,4.80g,fatsecret
1180,"Budyń Waniliowy Bezglutenowy ",Amylon,91kcal,1.30g,17.00g,2.90g,fatsecret
1181,"Cukier Waniliowy Ekologiczny ",Amylon,398kcal,0.20g,98.00g,0.10g,fatsecret
1182,"Kawa Zbożowa o Smaku Wanilii",Anatol,5kcal,0.00g,1.10g,0.00g,fatsecret
1183,"Mini Biszkopty",Andante,400kcal,4.00g,79.00g,11.00g,fatsecret
1184,Biszkopty,Andante,387kcal,5.00g,74.00g,11.00g,fatsecret
1185,"Biszkopty Ladyfingers",Andante,380kcal,6.00g,70.00g,10.00g,fatsecret
1186,"Wafle Rodzinne Mleczne",Andante,540kcal,31.00g,59.00g,6.00g,fatsecret
1187,"Gofry Naturalne",Ania,358kcal,1.30g,77.60g,10.40g,fatsecret
1188,"Ciastka Orkiszowe",Ania,362kcal,1.50g,76.70g,10.50g,fatsecret
1189,"Gofry Orkiszowe ",Ania,348kcal,1.50g,71.00g,11.00g,fatsecret
1190,"Ciasteczka Owsiane z Czarnuszką",Ania,463kcal,16.77g,65.74g,10.20g,fatsecret
1191,"Chlebki Ryżowe w Syropie Ryżowym ",Ania,406kcal,13.40g,68.30g,5.80g,fatsecret
1192,"Bio Muffinki Babuni Kakaowe ",Ania,477kcal,25.80g,53.80g,9.10g,fatsecret
1193,"Fun Cookies Bio Fajne Ciasteczka Orkiszowe",Ania,428kcal,10.10g,81.00g,6.00g,fatsecret
1194,"Ciasteczka Owsiane z Rozmarynem",Ania,417kcal,7.10g,76.90g,10.30g,fatsecret
1195,"Baton Grunchy Orkiszowy",Ania,403kcal,12.30g,67.10g,8.10g,fatsecret
1196,"Bio Fajne Ciasteczka Gryczane",Ania,460kcal,17.40g,72.00g,6.10g,fatsecret
1197,"Baton Grunchy Owsiany",Ania,408kcal,13.90g,64.20g,8.40g,fatsecret
1198,"Bio Wafle Domowe Orkiszowe ",Ania,373kcal,1.40g,80.20g,12.10g,fatsecret
1199,"Ciasteczka Owsiane z Miodem",Ania,503kcal,24.43g,59.44g,9.71g,fatsecret
1200,"Kotlety Sojowe",Ania,341kcal,1.00g,33.00g,50.00g,fatsecret
1201,"Grunchy Orkiszowe z Jagodami Goji ",Ania,409kcal,12.90g,67.20g,8.20g,fatsecret
1202,"Ciasteczka Owsiane Babci Ani","Ania 1990",445kcal,12.30g,74.20g,10.90g,fatsecret
1203,"Ciasteczka Babci Ani Orkiszowe","Ania 1990",446kcal,13.20g,73.90g,10.00g,fatsecret
1204,"Ciasteczka Owsiane Naturalne","Ania 1990",492kcal,22.72g,59.51g,10.05g,fatsecret
1205,"Ciasteczka Owsiane z Czarnuszką","Ania 1990",422kcal,7.10g,78.10g,10.30g,fatsecret
1206,"Ciasteczka Owsiane Migdałowe","Ania 1990",472kcal,18.57g,64.33g,9.95g,fatsecret
1207,"Mini Ania Jungle Herbatniki","Ania 1990",435kcal,10.00g,75.00g,11.00g,fatsecret
1208,"Baton Crunchy Owsiany","Ania 1990",408kcal,13.90g,64.20g,8.40g,fatsecret
1209,"Gofry Naturalne","Ania 1990",358kcal,1.30g,77.60g,10.40g,fatsecret
1210,"Len Mielony","Ania 1990",534kcal,42.20g,28.90g,18.30g,fatsecret
1211,"Ciastka Owsiane z Czarnuszką ","Ania 1990",422kcal,7.10g,78.10g,10.30g,fatsecret
1212,"Bio Herbatniki Prostokątne","Ania 1990",447kcal,12.30g,75.90g,9.60g,fatsecret
1213,"Baton Crunchy Orkiszowy","Ania 1990",403kcal,12.30g,67.10g,8.10g,fatsecret
1214,"Ciasteczka Orkiszowe Naturalne","Ania 1990",446kcal,13.20g,73.90g,10.00g,fatsecret
1215,"Bio Crunchy Owsiane","Ania 1990",405kcal,13.50g,65.50g,7.60g,fatsecret
1216,"Ciasteczka Owsiane z Cynamonem","Ania 1990",435kcal,11.80g,74.50g,9.50g,fatsecret
1217,"Przysmak Ryżowy","Ania 1990",406kcal,13.00g,68.00g,5.80g,fatsecret
1218,"Ciasteczka Owsiane z Rozmarynem","Ania 1990",417kcal,7.10g,76.90g,10.30g,fatsecret
1219,"Grunchy Owsiane Kakaowe ","Ania 1990",414kcal,16.40g,62.40g,8.30g,fatsecret
1220,"Bio Wafle Domowe z Otrębami","Ania 1990",355kcal,1.80g,75.80g,13.00g,fatsecret
1221,"Chlebek Kukurydziany","Ania 1990",441kcal,19.00g,58.00g,7.00g,fatsecret
1222,"Bio Grunchy Orkiszowe z Pełnego Ziarna","Ania 1990",400kcal,11.90g,68.00g,7.80g,fatsecret
1223,"Ciasteczka Ani o Smaku Jogurtowym ","Ania 1990",438kcal,12.10g,71.50g,10.30g,fatsecret
1224,"Bio Baton Fajny Gryczany","Ania 1990",439kcal,15.60g,68.60g,6.80g,fatsecret
1225,"Bio Fajny Baton Kukurydziany ","Ania 1990",441kcal,15.70g,70.70g,5.00g,fatsecret
1226,"Makaron Tagliatelle",Animak,348kcal,0.50g,75.00g,11.00g,fatsecret
1227,"Makaron Szpinakowy",Animak,348kcal,0.50g,75.00g,11.00g,fatsecret
1228,"Tagliatelle Szpinakowe",Animak,348kcal,0.50g,75.00g,11.00g,fatsecret
1229,"Makaron z Pełnego Ziarna Graham",Animak,359kcal,2.10g,69.00g,13.00g,fatsecret
1230,"Makaron Fidellini Nidi",Animak,365kcal,0.70g,79.50g,11.50g,fatsecret
1231,"Szynka Staropolska",Animex,141kcal,7.50g,2.40g,16.00g,fatsecret
1232,"Gatunkowa Mielona",Animex,291kcal,26.00g,0.20g,14.00g,fatsecret
1233,"Kiełbasa Krakowska Parzona",Animex,168kcal,9.70g,0.00g,20.10g,fatsecret
1234,"Parówki Bobaski",Animex,224kcal,19.00g,3.00g,9.00g,fatsecret
1235,"Hamburger Drobiowy",Animex,287kcal,23.00g,8.40g,12.00g,fatsecret
1236,"Szynka z Indyka",Animex,131kcal,7.90g,3.70g,11.30g,fatsecret
1237,"High Protein Strawberry Ice Cream",Anita,165kcal,5.30g,20.60g,8.80g,fatsecret
1238,"Smooth Ice",Anita,106kcal,0.30g,25.10g,0.20g,fatsecret
1239,"Pyzy Ziemniaczane ",Anita,118kcal,0.10g,27.00g,1.60g,fatsecret
1240,Kopytka,Anita,162kcal,0.30g,36.00g,3.00g,fatsecret
1241,"Pierogi z Serem",Anita,216kcal,2.30g,41.20g,6.90g,fatsecret
1242,"Kartacze z Mięsem ",Anita,160kcal,3.30g,27.80g,4.20g,fatsecret
1243,"Pierogi z Mięsem ",Anita,253kcal,7.30g,35.60g,10.30g,fatsecret
1244,"Rolada Lodowa Tricolore",Anita,155kcal,6.70g,21.00g,2.50g,fatsecret
1245,"Cezar Classic",Anita,281kcal,18.00g,26.10g,3.60g,fatsecret
1246,"Kluski Śląskie",Anita,133kcal,0.10g,30.80g,1.50g,fatsecret
1247,"Lody Waniliowe bez Laktozy",Anita,187kcal,10.20g,21.60g,2.10g,fatsecret
1248,"Pierogi z Kapustą i Grzybami",Anita,191kcal,2.10g,37.00g,5.00g,fatsecret
1249,"Deser Milenijny",Anita,183kcal,10.20g,20.20g,2.50g,fatsecret
1250,"Pyzy z Mięsem",Anita,133kcal,2.70g,24.00g,2.50g,fatsecret
1251,"Lody Truskawkowe bez Laktozy",Anita,170kcal,7.30g,23.00g,2.80g,fatsecret
1252,"Pierogi z Truskawkami",Anita,205kcal,1.80g,42.00g,4.30g,fatsecret
1253,"Uszka z Kapustą i Grzybami",Anita,189kcal,1.80g,36.60g,4.90g,fatsecret
1254,"Pierogi z Grzybami Leśnymi ",Anita,195kcal,3.90g,31.20g,7.10g,fatsecret
1255,"Pierogi Ruskie",Anita,197kcal,2.60g,37.00g,5.60g,fatsecret
1256,"Pierogi z Mięsem ",Anka,240kcal,9.40g,30.00g,9.50g,fatsecret
1257,"Pierogi Ruskie",Anka,202kcal,5.00g,33.00g,6.10g,fatsecret
1258,"Pierogi z Jagodami",Anka,182kcal,3.90g,32.00g,4.30g,fatsecret
1259,"Uszka z Mięsem",Anka,240kcal,9.30g,30.00g,9.40g,fatsecret
1260,"Pierogi z Serem ",Anka,338kcal,4.90g,34.00g,8.70g,fatsecret
1261,"Pierogi z Truskawkami",Anka,175kcal,3.80g,31.00g,4.20g,fatsecret
1262,"Pierogi ze Szpinakiem",Anka,177kcal,4.30g,30.00g,4.70g,fatsecret
1263,"Swojski Makaron Babci Ani",Anna,374kcal,2.50g,73.90g,12.60g,fatsecret
1264,"Dżem Brzoskwiniowy Niskosłodzony",Anna,143kcal,0.20g,35.00g,0.30g,fatsecret
1265,"Dżem z Czarnych Porzeczek Niskosłodzony",Anna,144kcal,0.10g,35.00g,0.50g,fatsecret
1266,"Powidła Śliwkowe",Anna,221kcal,0.20g,54.00g,0.50g,fatsecret
1267,"Herbatniki Petit Beurre",Apetitki,432kcal,10.20g,76.30g,8.70g,fatsecret
1268,"Herbatniki ",Apetitki,400kcal,5.30g,77.10g,10.20g,fatsecret
1269,"Petit Beurre Kakaowe",Apetitki,446kcal,14.10g,69.30g,8.40g,fatsecret
1270,"Petit Beurre Black",Apetitki,440kcal,12.60g,71.10g,9.40g,fatsecret
1271,Malinki,Apetitki,348kcal,0.50g,82.00g,3.80g,fatsecret
1272,"Wafle o Smaku Krówkowym",Apetitki,541kcal,21.00g,63.00g,3.30g,fatsecret
1273,Biszkopty,Apetitki,350kcal,3.40g,69.70g,9.70g,fatsecret
1274,"Herbatniki Naturfit Kakaowe",Apetitki,470kcal,19.00g,61.00g,8.50g,fatsecret
1275,"Biszkopty Naturfit",Apetitki,347kcal,5.70g,68.90g,11.00g,fatsecret
1276,"Pizza z Kurczakiem",Apetito,191kcal,6.40g,24.00g,8.40g,fatsecret
1277,"Pizza Familijna",Apetito,214kcal,6.70g,30.00g,6.90g,fatsecret
1278,"Zapiekanka z Pieczarkami i Szynka ",Apetito,192kcal,7.20g,23.30g,8.30g,fatsecret
1279,"Pizza Pepperoni Salami",Apetito,216kcal,8.70g,24.00g,8.90g,fatsecret
1280,"Pizza Cztery Sery",Apetito,207kcal,7.40g,24.00g,11.00g,fatsecret
1281,"Pizza z Szynką",Apetito,188kcal,6.20g,24.80g,7.50g,fatsecret
1282,"Pizza z Pieczarkami",Apetito,172kcal,5.10g,25.30g,5.40g,fatsecret
1283,"Zapiekanka z Pieczarkami",Apetito,349kcal,10.80g,46.80g,15.60g,fatsecret
1284,"Roślinny Qurczak",Apollo,243kcal,13.00g,5.40g,23.00g,fatsecret
1285,"Roślinny Qurczak Teriyaki",Apollo,180kcal,3.70g,16.00g,19.00g,fatsecret
1286,"Roślinny Kurczak Teriyaki ",Apollo,180kcal,3.70g,16.00g,19.00g,fatsecret
1287,"Śledź w Pomidorach ",Appel,203kcal,14.50g,5.50g,11.60g,fatsecret
1288,"Kurczak Burger",Appetito,249kcal,11.00g,26.00g,12.00g,fatsecret
1289,"Bułka Kurczak Grillowany",Appetito,273kcal,16.00g,23.00g,9.60g,fatsecret
1290,"Bułka Wiosenna",Appetito,268kcal,16.00g,23.00g,7.80g,fatsecret
1291,"Burger 100% Wołowy",Appetito,201kcal,7.50g,19.00g,14.00g,fatsecret
1292,Drwala,Appetito,259kcal,13.00g,27.00g,9.20g,fatsecret
1293,Gyros,Appetito,238kcal,11.00g,25.00g,8.60g,fatsecret
1294,"Bułka Wędlina z Indyka & Ser",Appetito,245kcal,16.00g,17.00g,8.00g,fatsecret
1295,"z Boczkiem i Jajkiem",Appetito,296kcal,19.00g,25.00g,6.00g,fatsecret
1296,"Pasta z Tuńczyka",Appetito,237kcal,10.00g,25.00g,11.00g,fatsecret
1297,"Z Sopocką I Serem",Appetito,236kcal,11.00g,24.00g,9.50g,fatsecret
1298,"Salami I Ser",Appetito,362kcal,22.00g,28.00g,13.00g,fatsecret
1299,Hot-Dog,Appetito,230kcal,11.00g,26.00g,7.00g,fatsecret
1300,"Mix Oliwek Greckich","Apposta Mediterraneo",182kcal,17.00g,2.00g,1.30g,fatsecret
1301,"Bruschetta 3 Smaki","Apposta Mediterraneo",329kcal,33.00g,4.40g,1.90g,fatsecret
1302,"Sałatka Makaronowa z Zielonym Pesto","Apposta Mediterraneo",253kcal,17.00g,20.00g,4.50g,fatsecret
1303,"Hummus Bio","Apposta Mediterraneo",287kcal,23.00g,11.00g,7.80g,fatsecret
1304,"Sałatka Makaronowa z Czerwonym Pesto","Apposta Mediterraneo",214kcal,15.00g,14.00g,3.80g,fatsecret
1305,"Komosa Ryżowa Kasza Bulgur Marchew","Apposta Mediterraneo",147kcal,5.00g,21.00g,3.50g,fatsecret
1306,"Hummus Klasyczny Czarnuszka Burak","Apposta Mediterraneo",275kcal,18.00g,14.00g,8.00g,fatsecret
1307,"Whey Protein ISOLATE",Aptonia,356kcal,2.40g,3.00g,81.50g,fatsecret
1308,"Mass Gainer",Aptonia,389kcal,3.00g,50.00g,40.00g,fatsecret
1309,"Whey Protein",Aptonia,379kcal,2.30g,20.30g,69.00g,fatsecret
1310,"Energy Nougat Bars",Aptonia,424kcal,12.00g,73.00g,5.10g,fatsecret
1311,"Recovery Drink",Aptonia,353kcal,1.00g,64.00g,22.00g,fatsecret
1312,"Protein Bar Crunchy Vanilla Caramel",Aptonia,418kcal,17.00g,39.00g,31.00g,fatsecret
1313,"Energy Date Bars",Aptonia,365kcal,5.80g,75.00g,3.30g,fatsecret
1314,"Whey 3",Aptonia,380kcal,2.90g,17.50g,69.80g,fatsecret
1315,"Arctic + Elements",Arctic,9kcal,0.00g,2.10g,0.00g,fatsecret
1316,"Arctic+ Guarana Rabarbar i Zielona Kawa",Arctic,17kcal,0.50g,4.20g,0.50g,fatsecret
1317,"Łosoś Atlantycki Wędzony Plastrowany",Arcticfish,160kcal,8.00g,0.20g,21.70g,fatsecret
1318,"Łosoś Sałatkowy Wędzony na Zimno ",Arcticfish,174kcal,10.00g,0.50g,21.00g,fatsecret
1319,"Łosoś Atlantycki",Arcticfish,169kcal,9.00g,0.50g,22.00g,fatsecret
1320,"Polędwica Z Łososia",Arcticfish,168kcal,8.40g,0.50g,23.00g,fatsecret
1321,"Sockeye Dziki Łosoś",Arcticfish,125kcal,4.00g,1.30g,21.00g,fatsecret
1322,"Pstrąg Tęczowy Wędzony",Arcticfish,156kcal,8.60g,0.10g,19.70g,fatsecret
1323,"Łosoś Atlantycki Wędzony na Gorąco z Pieprzem",Arcticfish,215kcal,14.20g,0.10g,21.70g,fatsecret
1324,"Makrela Wędzona na Gorąco",Arcticfish,255kcal,20.00g,0.00g,20.00g,fatsecret
1325,"Plastry Łososiowe Wędzone na Zimno Dymem z Drewna Bukowego",Arcticfish,162kcal,9.20g,0.50g,20.00g,fatsecret
1326,"Brzuszki z Łososia ",Arcticfish,317kcal,26.90g,0.00g,18.80g,fatsecret
1327,"Łosoś Sałatkowy Wędzony na Zimno z Koprem",Arcticfish,178kcal,9.00g,1.50g,22.70g,fatsecret
1328,"Filety z Makreli Wędzone na Gorąco z Pieprzem",Arcticfish,255kcal,19.70g,0.10g,19.40g,fatsecret
1329,"Filety Z Pstrąga",Arcticfish,143kcal,6.60g,0.00g,20.90g,fatsecret
1330,Lizak,Argo,391kcal,0.00g,98.00g,0.60g,fatsecret
1331,"Sour Madness ",Argo,391kcal,0.00g,98.00g,0.60g,fatsecret
1332,"Sopelki Choinkowe",Argo,391kcal,0.00g,98.00g,0.60g,fatsecret
1333,"Green Tea With Honey",Arizona,19kcal,0.00g,5.00g,0.00g,fatsecret
1334,"Green Tea Peach Sparkling",Arizona,21kcal,0.00g,5.10g,0.00g,fatsecret
1335,"Blueberry White Tea",Arizona,20kcal,0.00g,5.20g,0.00g,fatsecret
1336,Watermelon,Arizona,23kcal,0.00g,5.60g,0.00g,fatsecret
1337,"Pomegranate Green Tea",Arizona,31kcal,0.00g,9.00g,0.00g,fatsecret
1338,"Mucho Mango",Arizona,23kcal,0.00g,5.60g,0.00g,fatsecret
1339,"Kiwi Strawberry",Arizona,22kcal,0.00g,5.60g,0.00g,fatsecret
1340,"Strawberry Lemonade",Arizona,20kcal,0.00g,5.20g,0.00g,fatsecret
1341,"Raspberry Iced Tea",Arizona,20kcal,0.00g,4.80g,0.00g,fatsecret
1342,"Protein Salted Caramel BCAA Pudding",Arla,79kcal,1.50g,7.40g,10.00g,fatsecret
1343,"Apetina Serek Kremowy Skyr",Arla,139kcal,9.00g,3.60g,10.00g,fatsecret
1344,"Protein Shake Chocolate",Arla,57kcal,0.90g,2.40g,10.00g,fatsecret
1345,"Apetina Serek Kremowy Pomidory i Bazylia",Arla,179kcal,14.00g,5.30g,7.30g,fatsecret
1346,"Skyr Waniliowy ",Arla,74kcal,0.20g,8.30g,9.10g,fatsecret
1347,"Skyr Jogurt Typu Islandzkiego Jagoda-Czarny bez",Arla,78kcal,0.30g,9.70g,9.00g,fatsecret
1348,Skyr,Arla,61kcal,0.20g,4.00g,10.00g,fatsecret
1349,"Apetina Serek Kremowy Pesto i Rukola",Arla,182kcal,15.00g,3.80g,7.30g,fatsecret
1350,"Apetina Classic ",Arla,252kcal,21.00g,0.50g,14.00g,fatsecret
1351,"Protein Chocolate BCAA Pudding",Arla,77kcal,1.50g,6.60g,10.00g,fatsecret
1352,"Protein Naturalny",Arla,77kcal,1.50g,6.60g,10.00g,fatsecret
1353,"Apetina Basil & Oregano",Arla,155kcal,10.00g,0.50g,15.00g,fatsecret
1354,"Skyr Truskawkowy",Arla,72kcal,0.20g,7.40g,9.30g,fatsecret
1355,"Protein Blaubeere",Arla,74kcal,1.50g,7.90g,10.00g,fatsecret
1356,"Apetina Original White Cheese in Brine",Arla,252kcal,21.00g,0.00g,14.00g,fatsecret
1357,"Apetina Mozzarella",Arla,301kcal,21.00g,3.20g,24.00g,fatsecret
1358,"Apetina Pesto i Rukola",Arla,190kcal,16.00g,3.50g,8.00g,fatsecret
1359,Lactofree,Arla,190kcal,16.00g,3.30g,7.80g,fatsecret
1360,"Skyr Jogurt Typu Islandzkiego Malina-Żurawina",Arla,77kcal,0.20g,9.80g,8.90g,fatsecret
1361,"Protein Hazelnut Latte Pudding",Arla,74kcal,1.50g,7.90g,10.00g,fatsecret
1362,"Apetina Papaja i Curry",Arla,208kcal,16.00g,8.50g,7.00g,fatsecret
1363,"Serek Kremowy Naturalny",Arla,252kcal,25.00g,3.00g,4.50g,fatsecret
1364,Paneer,Arla,174kcal,8.00g,3.20g,22.00g,fatsecret
1365,"Serek Kremowy Jalapeno",Arla,177kcal,15.00g,3.80g,7.20g,fatsecret
1366,Feta,Arla,260kcal,22.00g,0.50g,15.00g,fatsecret
1367,"Protein Yogurt Strawberry",Arla,75kcal,0.70g,5.90g,10.10g,fatsecret
1368,"Apetina Serek Kremowy",Arla,180kcal,14.00g,5.00g,8.00g,fatsecret
1369,"Port Salut",Arla,340kcal,26.00g,0.10g,25.00g,fatsecret
1370,Cheddar,Arla,416kcal,35.00g,0.50g,25.00g,fatsecret
1371,"Serek Kremowy Pomidory i Bazylia",Arla,180kcal,14.00g,5.00g,8.00g,fatsecret
1372,"Apetina Citrus & Herbs",Arla,380kcal,35.00g,1.30g,15.00g,fatsecret
1373,"Apetina Red Pepper and Chilli",Arla,253kcal,21.00g,0.50g,14.00g,fatsecret
1374,"Apetina Garlic & Parsley ",Arla,261kcal,22.00g,0.50g,15.00g,fatsecret
1375,"Apetina Lactose Free",Arla,162kcal,10.00g,0.50g,17.00g,fatsecret
1376,"Apetina Sundried Tomatoes",Arla,381kcal,34.00g,3.90g,14.00g,fatsecret
1377,"Apetina Jalapeño",Arla,177kcal,15.00g,3.80g,7.20g,fatsecret
1378,"Natural Cream Cheese",Arla,252kcal,25.00g,3.00g,4.50g,fatsecret
1379,"Apetina Snack z Suszonymi Pomidorami",Arla,318kcal,27.00g,2.70g,15.00g,fatsecret
1380,"Apetina Herbs & Spices",Arla,325kcal,29.00g,0.60g,16.00g,fatsecret
1381,Havarti,Arla,422kcal,38.00g,0.10g,19.00g,fatsecret
1382,"Serek Wysokobiałkowy Jagodowy",Arla,72kcal,0.50g,6.50g,10.00g,fatsecret
1383,"Ser Havarti Jalapeno",Arla,397kcal,34.00g,0.70g,22.00g,fatsecret
1384,"Serek Kremowy Naturalny bez Laktozy",Arla,190kcal,16.00g,3.30g,7.80g,fatsecret
1385,"Protein Milk Drink Chocolate",Arla,48kcal,0.70g,4.70g,5.40g,fatsecret
1386,"Protein Milk Shake Tropical",Arla,79kcal,1.60g,7.00g,9.00g,fatsecret
1387,"Skyr Jagoda-Czarny bez",Arla,73kcal,0.00g,8.60g,8.60g,fatsecret
1388,"Apetina Light",Arla,160kcal,8.00g,5.00g,15.00g,fatsecret
1389,"Protein Cottage Cheese",Arla,82kcal,1.50g,2.20g,15.00g,fatsecret
1390,"Protein Jogurt Naturalny",Arla,58kcal,0.20g,4.00g,10.00g,fatsecret
1391,"Apetina Serek Kremowy Lekki Naturalny",Arla,99kcal,4.00g,3.30g,12.00g,fatsecret
1392,"Protein Yogurt Mango",Arla,74kcal,0.70g,5.80g,10.10g,fatsecret
1393,"Ser Apetina Cheddar & Mozzarella ",Arla,367kcal,29.00g,2.70g,25.00g,fatsecret
1394,"Pineapple Cream Cheese",Arla,244kcal,20.00g,11.00g,4.00g,fatsecret
1395,"Apetina Tapas",Arla,181kcal,15.00g,3.80g,7.20g,fatsecret
1396,"Mild Kvarg",Arla,60kcal,0.20g,4.00g,9.70g,fatsecret
